INFO:neural_network:Initializing NeuralNetwork with layer_sizes=(784, 100, 100, 10)
INFO:neural_network:L2 regularization enabled with alpha=0.0001
INFO:neural_network:NeuralNetwork initialized successfully with 89,610 parameters
INFO:neural_network:Starting training: 60000 samples, 784 features, 10 classes
INFO:neural_network:Training configuration: batch_size=200, max_epochs=200, early_stopping_patience=25
INFO:neural_network:Validation data provided: 10000 samples
INFO:neural_network:Epoch 9, Batch 250: loss=0.762327
INFO:neural_network:Epoch 9, Batch 260: loss=0.892671
INFO:neural_network:Epoch 9, Batch 270: loss=0.765273
INFO:neural_network:Epoch 9, Batch 280: loss=0.816312
INFO:neural_network:Epoch 9, Batch 290: loss=0.862143
INFO:neural_network:Epoch    9/200: train_loss=0.832554 (batch_avg=0.872245), lr=0.001
INFO:neural_network:Accuracy: 0.8500 (85/100 correct)
INFO:neural_network:  -> Validation accuracy: 0.8500
INFO:neural_network:Epoch 10, Batch 0: loss=0.776367
INFO:neural_network:Epoch 10, Batch 10: loss=0.864255
INFO:neural_network:Epoch 10, Batch 20: loss=0.816498
INFO:neural_network:Epoch 10, Batch 30: loss=0.822684
INFO:neural_network:Epoch 10, Batch 40: loss=0.829745
INFO:neural_network:Epoch 10, Batch 50: loss=0.754250
INFO:neural_network:Epoch 10, Batch 60: loss=0.762455
INFO:neural_network:Epoch 10, Batch 70: loss=0.813678
INFO:neural_network:Epoch 10, Batch 80: loss=0.801463
INFO:neural_network:Epoch 10, Batch 90: loss=0.779644
INFO:neural_network:Epoch 10, Batch 100: loss=0.792080
INFO:neural_network:Epoch 10, Batch 110: loss=0.834347
INFO:neural_network:Epoch 10, Batch 120: loss=0.784818
INFO:neural_network:Epoch 10, Batch 130: loss=0.809694
INFO:neural_network:Epoch 10, Batch 140: loss=0.853977
INFO:neural_network:Epoch 10, Batch 150: loss=0.818031
INFO:neural_network:Epoch 10, Batch 160: loss=0.800532
INFO:neural_network:Epoch 10, Batch 170: loss=0.812618
INFO:neural_network:Epoch 10, Batch 180: loss=0.783703
INFO:neural_network:Epoch 10, Batch 190: loss=0.749943
INFO:neural_network:Epoch 10, Batch 200: loss=0.824907
INFO:neural_network:Epoch 10, Batch 210: loss=0.792489
INFO:neural_network:Epoch 10, Batch 220: loss=0.815654
INFO:neural_network:Epoch 10, Batch 230: loss=0.658334
INFO:neural_network:Epoch 10, Batch 240: loss=0.788225
INFO:neural_network:Epoch 10, Batch 250: loss=0.868853
INFO:neural_network:Epoch 10, Batch 260: loss=0.778009
INFO:neural_network:Epoch 10, Batch 270: loss=0.770230
INFO:neural_network:Epoch 10, Batch 280: loss=0.859587
INFO:neural_network:Epoch 10, Batch 290: loss=0.789065
INFO:neural_network:Epoch   10/200: train_loss=0.767376 (batch_avg=0.799027), lr=0.001
INFO:neural_network:Accuracy: 0.8700 (87/100 correct)
INFO:neural_network:  -> Validation accuracy: 0.8700
INFO:neural_network:Epoch 11, Batch 0: loss=0.719049
INFO:neural_network:Epoch 11, Batch 10: loss=0.728006
INFO:neural_network:Epoch 11, Batch 20: loss=0.844393
INFO:neural_network:Epoch 11, Batch 30: loss=0.865626
INFO:neural_network:Epoch 11, Batch 40: loss=0.674565
INFO:neural_network:Epoch 11, Batch 50: loss=0.718350
INFO:neural_network:Epoch 11, Batch 60: loss=0.756818
INFO:neural_network:Epoch 11, Batch 70: loss=0.771311
INFO:neural_network:Epoch 11, Batch 80: loss=0.714562
INFO:neural_network:Epoch 11, Batch 90: loss=0.742951
INFO:neural_network:Epoch 11, Batch 100: loss=0.769691
INFO:neural_network:Epoch 11, Batch 110: loss=0.684903
INFO:neural_network:Epoch 11, Batch 120: loss=0.769880
INFO:neural_network:Epoch 11, Batch 130: loss=0.819124
INFO:neural_network:Epoch 11, Batch 140: loss=0.716691
INFO:neural_network:Epoch 11, Batch 150: loss=0.763148
INFO:neural_network:Epoch 11, Batch 160: loss=0.754487
INFO:neural_network:Epoch 11, Batch 170: loss=0.653997
INFO:neural_network:Epoch 11, Batch 180: loss=0.730310
INFO:neural_network:Epoch 11, Batch 190: loss=0.854714
INFO:neural_network:Epoch 11, Batch 200: loss=0.725694
INFO:neural_network:Epoch 11, Batch 210: loss=0.747351
INFO:neural_network:Epoch 11, Batch 220: loss=0.697560
INFO:neural_network:Epoch 11, Batch 230: loss=0.711738
INFO:neural_network:Epoch 11, Batch 240: loss=0.684558
INFO:neural_network:Epoch 11, Batch 250: loss=0.687225
INFO:neural_network:Epoch 11, Batch 260: loss=0.696662
INFO:neural_network:Epoch 11, Batch 270: loss=0.786198
INFO:neural_network:Epoch 11, Batch 280: loss=0.693902
INFO:neural_network:Epoch 11, Batch 290: loss=0.714362
INFO:neural_network:Epoch   11/200: train_loss=0.715063 (batch_avg=0.740520), lr=0.001
INFO:neural_network:Accuracy: 0.7900 (79/100 correct)
INFO:neural_network:  -> Validation accuracy: 0.7900
INFO:neural_network:Epoch 12, Batch 0: loss=0.719428
INFO:neural_network:Epoch 12, Batch 10: loss=0.637131
INFO:neural_network:Epoch 12, Batch 20: loss=0.752593
INFO:neural_network:Epoch 12, Batch 30: loss=0.754401
INFO:neural_network:Epoch 12, Batch 40: loss=0.655972
INFO:neural_network:Epoch 12, Batch 50: loss=0.782087
INFO:neural_network:Epoch 12, Batch 60: loss=0.692367
INFO:neural_network:Epoch 12, Batch 70: loss=0.813398
INFO:neural_network:Epoch 12, Batch 80: loss=0.671843
INFO:neural_network:Epoch 12, Batch 90: loss=0.706464
INFO:neural_network:Epoch 12, Batch 100: loss=0.695363
